source_key,match_id,source_season,tourney_id,round,best_of,rule_group,rule_basis,match_rule
2011-303/3,2011-303/3,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/4,2011-303/4,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/5,2011-303/5,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/6,2011-303/6,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/7,2011-303/7,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/8,2011-303/8,2011,2011-303,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-303/9,2011-303/9,2011,2011-303,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/1,2011-304/1,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/10,2011-304/10,2011,2011-304,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/11,2011-304/11,2011,2011-304,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/12,2011-304/12,2011,2011-304,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/13,2011-304/13,2011,2011-304,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/14,2011-304/14,2011,2011-304,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/15,2011-304/15,2011,2011-304,F,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/2,2011-304/2,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/3,2011-304/3,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/4,2011-304/4,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/5,2011-304/5,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/6,2011-304/6,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/7,2011-304/7,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/8,2011-304/8,2011,2011-304,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-304/9,2011-304/9,2011,2011-304,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/1,2011-305/1,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/10,2011-305/10,2011,2011-305,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/11,2011-305/11,2011,2011-305,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/12,2011-305/12,2011,2011-305,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/13,2011-305/13,2011,2011-305,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/14,2011-305/14,2011,2011-305,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/15,2011-305/15,2011,2011-305,F,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/2,2011-305/2,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/3,2011-305/3,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/4,2011-305/4,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/5,2011-305/5,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/6,2011-305/6,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/7,2011-305/7,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/8,2011-305/8,2011,2011-305,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-305/9,2011-305/9,2011,2011-305,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/1,2011-306/1,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/10,2011-306/10,2011,2011-306,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/11,2011-306/11,2011,2011-306,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/12,2011-306/12,2011,2011-306,QF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/13,2011-306/13,2011,2011-306,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/14,2011-306/14,2011,2011-306,SF,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/15,2011-306/15,2011,2011-306,F,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/2,2011-306/2,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/3,2011-306/3,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/4,2011-306/4,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/5,2011-306/5,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/6,2011-306/6,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/7,2011-306/7,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
2011-306/8,2011-306/8,2011,2011-306,R16,3,ordinary_atp_best_of_three,synthetic,"{""deciding_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""regular_set"":{""mode"":""tiebreak"",""tiebreak_at_games"":6,""tiebreak_points"":7},""sets_to_win"":2}"
