B365_decimal_a,B365_decimal_b,B365_valid,PS_decimal_a,PS_decimal_b,PS_valid,a_1stIn,a_1stWon,a_2ndWon,a_SvGms,a_ace,a_age_years,a_bpFaced,a_bpSaved,a_df,a_entity_id,a_entry,a_hand,a_height_cm,a_identity_correction,a_identity_metadata_status,a_ioc,a_rank,a_rank_points,a_seed,a_source_id,a_source_name,a_source_side,a_svpt,a_won,abandoned,additional_count_evidence,archive_date_basis,b_1stIn,b_1stWon,b_2ndWon,b_SvGms,b_ace,b_age_years,b_bpFaced,b_bpSaved,b_df,b_entity_id,b_entry,b_hand,b_height_cm,b_identity_correction,b_identity_metadata_status,b_ioc,b_rank,b_rank_points,b_seed,b_source_id,b_source_name,b_source_side,b_svpt,best_of,competition_type,completed,count_block_status,count_correction_applied,court_recorded,date_basis,defaulted,draw_size,identity_basis,identity_tier,market_source_path,market_source_row,market_source_sha256,match_date,match_id,match_num,minutes,played,player_a,player_b,population_basis,ranking_metadata_basis,retired,round,score,season,source_correction,source_field_agreement,source_file_sha256,source_key,source_line_number,source_member,source_row_number,source_season,started_evidence,status,surface,tourney_anchor_date,tourney_id,tourney_level,tourney_name,walkover
1.302,3.422,true,1.391,3.215,true,45,38,13,11,5,17.7,3,1,2,200021,,L,205,,synthetic,SYN,10,4784,2,200021,P 21,w,68,true,false,,synthetic_event_anchor,27,22,5,6,2,23.4,2,1,1,200024,,R,171,,synthetic,SYN,17,2918,5,200024,P 24,l,36,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,15,,2011-01-06,2011-301/14,14,119,true,200021,200024,level_A,synthetic,false,SF,6-0 6-1,2011,,true,,2011-301/14,15,atp_matches_2011.csv,14,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
1.589,2.321,true,1.699,2.265,true,41,25,15,10,5,23.4,6,4,1,200006,,R,193,,synthetic,SYN,5,6832,1,200006,P 06,l,61,false,false,,synthetic_event_anchor,39,31,15,9,3,17.7,3,1,0,200021,,L,205,,synthetic,SYN,10,4784,2,200021,P 21,w,56,3,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,16,,2011-01-07,2011-301/15,15,103,true,200006,200021,level_A,synthetic,false,F,6-0 2-6 6-0,2011,,true,,2011-301/15,16,atp_matches_2011.csv,15,2011,,completed,Hard,20110103,2011-301,A,Sample 301,false
11.792,1.025,true,12.136,1.055,true,67,42,13,15,5,24.0,7,4,1,200025,,L,173,,synthetic,SYN,99,107,,200025,P 25,l,98,false,false,,synthetic_event_anchor,45,31,17,11,5,16.4,10,5,0,200027,,R,177,,synthetic,SYN,15,3358,4,200027,P 27,w,73,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,17,,2011-01-17,2011-302/1,1,103,true,200025,200027,level_A,synthetic,false,R16,1-6 6-0 1-6,2011,,false,,2011-302/1,17,atp_matches_2011.csv,16,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.025,11.792,true,1.158,6.016,true,60,51,30,16,8,23.4,10,4,1,200006,,R,193,,synthetic,SYN,3,7884,1,200006,P 06,w,104,true,false,,synthetic_event_anchor,28,22,5,7,5,26.7,5,2,1,200007,,R,184,,synthetic,SYN,31,1120,,200007,P 07,l,44,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,18,,2011-01-18,2011-302/2,2,62,true,200006,200007,level_A,synthetic,false,R16,6-4 6-4,2011,,true,,2011-302/2,18,atp_matches_2011.csv,17,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.025,11.792,true,1.055,12.136,true,37,31,17,10,4,17.7,8,3,1,200021,,L,205,,synthetic,SYN,8,5515,3,200021,P 21,w,67,true,false,,synthetic_event_anchor,35,24,5,7,3,27.8,3,1,1,200043,,R,173,,synthetic,SYN,77,136,,200043,P 43,l,47,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,19,,2011-01-17,2011-302/3,3,114,true,200021,200043,level_A,synthetic,false,R16,6-0 6-4,2011,,true,,2011-302/3,19,atp_matches_2011.csv,18,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
7.333,1.083,true,7.510,1.115,true,42,29,17,11,8,19.5,5,3,1,200017,,R,191,,synthetic,SYN,50,357,,200017,P 17,w,72,true,false,,synthetic_event_anchor,38,33,11,10,7,26.7,5,5,1,200019,,R,201,,synthetic,SYN,12,4151,2,200019,P 19,l,62,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,20,,2011-01-18,2011-302/4,4,60,true,200017,200019,level_A,synthetic,false,R16,6-0 6-3,2011,,true,,2011-302/4,20,atp_matches_2011.csv,19,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.312,3.360,true,1.195,5.183,true,41,30,14,11,4,13.2,3,2,1,200005,,R,189,,synthetic,SYN,19,2537,6,200005,P 05,l,69,false,false,,synthetic_event_anchor,32,26,8,8,3,25.7,6,4,1,200038,,R,180,,synthetic,SYN,74,145,,200038,P 38,w,49,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,21,,2011-01-17,2011-302/5,5,69,true,200005,200038,level_A,synthetic,false,R16,6-4 6-2,2011,,true,,2011-302/5,21,atp_matches_2011.csv,20,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
2.276,1.611,true,3.057,1.423,true,67,40,21,16,6,15.9,3,0,0,200002,,R,189,,synthetic,SYN,39,671,,200002,P 02,l,104,false,false,,synthetic_event_anchor,51,38,14,12,2,16.3,9,7,0,200013,,L,173,,synthetic,SYN,21,2208,5,200013,P 13,w,78,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,22,,2011-01-18,2011-302/6,6,95,true,200002,200013,level_A,synthetic,false,R16,6-1 3-6 6-2,2011,,true,,2011-302/6,22,atp_matches_2011.csv,21,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.458,2.672,true,1.451,2.936,true,58,41,18,14,10,16.1,4,3,1,200009,,R,185,,synthetic,SYN,32,1049,8,200009,P 09,l,92,false,false,,synthetic_event_anchor,21,18,10,6,5,25.1,3,2,1,200041,,L,202,,synthetic,SYN,41,594,,200041,P 41,w,37,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,23,,2011-01-17,2011-302/7,7,117,true,200009,200041,level_A,synthetic,false,R16,0-6 6-0 6-0,2011,,false,,2011-302/7,23,atp_matches_2011.csv,22,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.970,1.810,true,2.031,1.860,true,36,31,17,9,6,23.4,2,1,1,200024,,R,171,,synthetic,SYN,18,2721,7,200024,P 24,w,60,true,false,,synthetic_event_anchor,42,31,15,12,4,25.3,4,2,0,200034,,R,192,,synthetic,SYN,27,1464,,200034,P 34,l,75,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,24,,2011-01-18,2011-302/8,8,56,true,200024,200034,level_A,synthetic,false,R16,4-6 3-6,2011,,true,,2011-302/8,24,atp_matches_2011.csv,23,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.396,2.910,true,1.377,3.290,true,40,32,18,11,5,23.4,3,2,1,200006,Q,R,193,,synthetic,SYN,3,7884,1,200006,P 06,l,69,false,false,,synthetic_event_anchor,42,33,13,10,4,16.4,6,4,2,200027,,R,177,,synthetic,SYN,15,3358,4,200027,P 27,w,65,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,25,,2011-01-19,2011-302/9,9,67,true,200006,200027,level_A,synthetic,false,QF,6-3 6-2,2011,,true,,2011-302/9,25,atp_matches_2011.csv,24,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
7.116,1.088,true,12.136,1.055,true,56,39,12,13,5,19.5,5,2,3,200017,,R,191,,synthetic,SYN,50,357,,200017,P 17,w,81,true,false,,synthetic_event_anchor,54,46,11,13,9,17.7,5,4,3,200021,,L,205,,synthetic,SYN,8,5515,3,200021,P 21,l,81,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,26,,2011-01-19,2011-302/10,10,96,true,200017,200021,level_A,synthetic,false,QF,2-6 6-0 6-0,2011,,true,,2011-302/10,26,atp_matches_2011.csv,25,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.142,5.426,true,1.209,4.927,true,39,29,14,10,6,16.3,4,1,0,200013,Q,L,173,,synthetic,SYN,21,2208,5,200013,P 13,w,66,true,false,,synthetic_event_anchor,55,35,14,14,2,25.7,5,3,2,200038,,R,180,,synthetic,SYN,74,145,,200038,P 38,l,90,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,27,,2011-01-19,2011-302/11,11,104,true,200013,200038,level_A,synthetic,false,QF,6-4 6-0,2011,,true,,2011-302/11,27,atp_matches_2011.csv,26,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.409,2.856,true,1.440,2.980,true,56,49,21,13,6,23.4,1,1,2,200024,,R,171,,synthetic,SYN,18,2721,7,200024,P 24,w,86,true,false,,synthetic_event_anchor,25,14,8,6,2,25.1,6,4,1,200041,,L,202,,synthetic,SYN,41,594,,200041,P 41,l,41,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,28,,2011-01-19,2011-302/12,12,94,true,200024,200041,level_A,synthetic,false,QF,6-4 6-3,2011,,true,,2011-302/12,28,atp_matches_2011.csv,27,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
3.940,1.240,true,4.790,1.218,true,56,38,14,13,4,19.5,5,5,1,200017,,R,191,,synthetic,SYN,50,357,,200017,P 17,l,82,false,false,,synthetic_event_anchor,37,32,19,11,7,16.4,4,3,2,200027,,R,177,,synthetic,SYN,15,3358,4,200027,P 27,w,68,3,individual_tour,false,usable,false,Indoor,synthetic_reported_date,true,16,synthetic,primary,synthetic,29,,2011-01-20,2011-302/13,13,111,true,200017,200027,level_A,synthetic,false,SF,6-2 2-2 DEF,2011,,true,,2011-302/13,29,atp_matches_2011.csv,28,2011,synthetic,default,Hard,20110117,2011-302,A,Sample 302,false
1.991,1.793,true,2.293,1.684,true,40,33,13,10,7,16.3,7,5,2,200013,,L,173,,synthetic,SYN,21,2208,5,200013,P 13,l,64,false,false,,synthetic_event_anchor,27,23,8,7,4,23.4,9,3,1,200024,,R,171,,synthetic,SYN,18,2721,7,200024,P 24,w,45,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,30,,2011-01-20,2011-302/14,14,63,true,200013,200024,level_A,synthetic,false,SF,6-2 6-2,2011,,true,,2011-302/14,30,atp_matches_2011.csv,29,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
2.308,1.595,true,2.444,1.611,true,52,41,17,14,6,23.4,7,2,1,200024,,R,171,,synthetic,SYN,18,2721,7,200024,P 24,l,88,false,false,,synthetic_event_anchor,48,34,12,11,5,16.4,6,4,1,200027,,R,177,,synthetic,SYN,15,3358,4,200027,P 27,w,73,3,individual_tour,true,usable,false,Indoor,synthetic_reported_date,false,16,synthetic,primary,synthetic,31,,2011-01-21,2011-302/15,15,104,true,200024,200027,level_A,synthetic,false,F,2-6 6-4 2-6,2011,,true,,2011-302/15,31,atp_matches_2011.csv,30,2011,,completed,Hard,20110117,2011-302,A,Sample 302,false
1.025,11.792,true,1.055,12.136,true,63,46,17,15,3,23.5,4,2,4,200006,,R,193,,synthetic,SYN,3,7884,3,200006,P 06,w,97,true,false,,synthetic_event_anchor,59,42,24,17,9,18.2,5,3,5,200022,,L,194,,synthetic,SYN,60,224,,200022,P 22,l,109,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,32,,2011-01-31,2011-501/1,1,137,true,200006,200022,level_G,synthetic,false,R32,4-6 6-3 6-0 3-6 1-6,2011,,true,,2011-501/1,32,atp_matches_2011.csv,31,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
11.792,1.025,true,12.136,1.055,true,94,62,22,23,8,22.3,4,2,3,200012,,R,183,,synthetic,SYN,85,120,,200012,P 12,l,146,false,false,,synthetic_event_anchor,79,63,27,19,9,26.7,1,0,1,200019,,R,201,,synthetic,SYN,15,3358,6,200019,P 19,w,120,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,33,,2011-02-01,2011-501/2,2,208,true,200012,200019,level_G,synthetic,false,R32,3-6 6-3 2-6 6-2 6-2,2011,,true,,2011-501/2,33,atp_matches_2011.csv,32,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
1.025,11.792,true,1.055,12.136,true,77,64,33,20,8,23.3,8,4,0,200020,Q,R,184,,synthetic,SYN,4,7339,1,200020,P 20,w,126,true,false,,synthetic_event_anchor,65,42,16,16,5,27.9,5,2,2,200043,,R,173,,synthetic,SYN,74,145,,200043,P 43,l,101,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,34,,2011-01-31,2011-501/3,3,225,true,200020,200043,level_G,synthetic,false,R32,6-1 6-1 6-3,2011,,true,,2011-501/3,34,atp_matches_2011.csv,33,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
1.071,7.904,true,1.060,11.559,true,105,82,43,27,11,17.8,7,5,1,200021,,L,205,,synthetic,SYN,7,5923,7,200021,P 21,w,170,true,false,,synthetic_event_anchor,51,32,17,13,6,29.0,3,2,2,200036,,R,185,,synthetic,SYN,68,170,,200036,P 36,l,83,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,35,,2011-02-01,2011-501/4,4,122,true,200021,200036,level_G,synthetic,false,R32,1-6 6-1 6-1 6-3,2011,,true,,2011-501/4,35,atp_matches_2011.csv,34,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
11.792,1.025,true,12.136,1.055,true,68,50,17,16,10,19.6,5,3,1,200015,,R,173,,synthetic,SYN,81,127,,200015,P 15,l,105,false,false,,synthetic_event_anchor,70,60,26,17,8,14.8,9,7,0,200050,,R,170,,synthetic,SYN,11,4456,4,200050,P 50,w,110,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,36,,2011-01-31,2011-501/5,5,224,true,200015,200050,level_G,synthetic,false,R32,3-6 6-2 6-3 6-3,2011,,true,,2011-501/5,36,atp_matches_2011.csv,35,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
3.462,1.297,true,4.435,1.243,true,57,36,12,12,4,27.9,2,1,2,200011,,R,176,,synthetic,SYN,73,148,,200011,P 11,l,80,false,false,,synthetic_event_anchor,74,59,30,19,7,16.3,5,3,3,200013,,L,173,,synthetic,SYN,20,2367,,200013,P 13,w,120,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,37,,2011-02-01,2011-501/6,6,217,true,200011,200013,level_G,synthetic,false,R32,2-6 6-4 6-3 6-0,2011,,true,,2011-501/6,37,atp_matches_2011.csv,36,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
2.633,1.470,true,2.435,1.615,true,101,79,21,24,10,25.1,4,2,4,200041,,L,202,,synthetic,SYN,40,631,,200041,P 41,l,151,false,false,,synthetic_event_anchor,77,64,29,19,10,18.5,6,3,4,200045,,R,,,synthetic,SYN,22,2061,,200045,P 45,w,123,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,38,,2011-01-31,2011-501/7,7,127,true,200041,200045,level_G,synthetic,false,R32,6-2 6-4 3-6 6-3,2011,,true,,2011-501/7,38,atp_matches_2011.csv,37,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
3.488,1.293,true,3.494,1.344,true,75,51,19,19,5,24.1,2,1,3,200028,,R,195,,synthetic,SYN,66,180,,200028,P 28,l,122,false,false,,synthetic_event_anchor,88,71,34,23,5,20.9,5,5,2,200046,,R,202,,synthetic,SYN,16,3130,8,200046,P 46,w,146,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,39,,2011-02-01,2011-501/8,8,125,true,200028,200046,level_G,synthetic,false,R32,4-6 6-4 6-3 2-6 6-0,2011,,true,,2011-501/8,39,atp_matches_2011.csv,38,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
1.517,2.496,true,1.736,2.203,true,72,52,22,18,6,14.5,5,2,2,200008,,R,185,,synthetic,SYN,31,1120,,200008,P 08,w,113,true,false,,synthetic_event_anchor,63,42,12,14,7,19.5,4,3,0,200017,,R,191,,synthetic,SYN,47,419,,200017,P 17,l,89,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,40,,2011-01-31,2011-501/9,9,71,true,200008,200017,level_G,synthetic,false,R32,1-6 6-4 6-0 6-2,2011,,true,,2011-501/9,40,atp_matches_2011.csv,39,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
2.400,1.554,true,2.241,1.713,true,88,68,32,21,17,25.3,2,2,2,200034,,R,192,,synthetic,SYN,27,1464,,200034,P 34,l,135,false,false,,synthetic_event_anchor,73,55,20,17,5,13.2,5,3,1,200035,,R,204,,synthetic,SYN,5,6832,2,200035,P 35,w,110,5,individual_tour,true,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,41,,2011-02-01,2011-501/10,10,130,true,200034,200035,level_G,synthetic,false,R32,6-1 1-6 6-4 1-6 6-4,2011,,true,,2011-501/10,41,atp_matches_2011.csv,40,2011,,completed,Hard,20110131,2011-501,G,Sample 501,false
2.276,1.611,true,2.149,1.771,true,63,42,15,15,10,20.1,10,7,0,200003,,R,203,,synthetic,SYN,30,1197,,200003,P 03,l,93,false,false,,synthetic_event_anchor,42,33,10,10,3,23.4,9,9,2,200024,Q,R,171,,synthetic,SYN,17,2918,,200024,P 24,w,65,5,individual_tour,false,usable,false,Outdoor,synthetic_reported_date,false,32,synthetic,primary,synthetic,42,,2011-01-31,2011-501/11,11,114,true,200003,200024,level_G,synthetic,true,R32,3-6 6-0 3-6 6-2 3-1 RET,2011,,true,,2011-501/11,42,atp_matches_2011.csv,41,2011,,retired,Hard,20110131,2011-501,G,Sample 501,false
