season,tourney_id,tourney_name,tourney_level,tourney_date,surface,draw_size,matches,best_of_values,completed,incomplete,deciding_sets,deciding_tiebreak_at_6_all,deciding_tiebreak_at_12_all,deciding_extended_past_7_games,deciding_decided_on_games,longest_deciding_set_games,deciding_tiebreak_loser_points,inferred_final_set_rule,inference_basis
2007,2007-D011,Fed Cup WG PO: ESP vs CZE,D,20070714,Clay,4,4,3:4,4,0,2,0,0,0,2,6,,not_observable_no_deciding_set_reached_6_all,"2 deciding set(s), none reached 6-6"
2007,2007-D012,Fed Cup WG2 R1: SVK vs CZE,D,20070421,Clay,4,4,3:3|5:1,3,1,3,0,0,0,3,7,,not_observable_no_deciding_set_reached_6_all,"3 deciding set(s), none reached 6-6"
2007,2007-D013,Fed Cup WG2 R1: GER vs CRO,D,20070421,Clay,4,4,3:4,4,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D014,Fed Cup WG2 R1: CAN vs ISR,D,20070421,Carpet,4,4,3:4,4,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D015,Fed Cup WG2 R1: AUT vs AUS,D,20070421,Clay,4,4,3:4,4,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D016,Fed Cup WG2 PO: AUS vs UKR,D,20070714,Hard,4,4,3:4,4,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D017,Fed Cup WG2 PO: ARG vs CAN,D,20070714,Clay,4,4,3:4,4,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D018,Fed Cup WG2 PO: CRO vs TPE,D,20070714,Clay,4,4,3:4,4,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D019,Fed Cup WG2 PO: SVK vs SRB,D,20070714,Hard,4,4,3:4,4,0,1,0,0,1,0,9,,deciding_set_extends_past_6_all_cap_unknown,1 deciding set(s) went past 7 games (longest 9); that rules out a tiebreak at 6-all but does not separate an advantage set from a tiebreak at a later game count
2007,2007-D020,Fed Cup G2 RRA: URU vs ECU,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D021,Fed Cup G2 RRA: URU vs BER,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D022,Fed Cup G2 RRA: URU vs HON,D,20070416,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D023,Fed Cup G2 RRA: ECU vs BER,D,20070416,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D024,Fed Cup G2 RRA: ECU vs HON,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D025,Fed Cup G2 RRA: BER vs HON,D,20070418,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D026,Fed Cup G2 RRB: PAR vs BOL,D,20070417,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D027,Fed Cup G2 RRB: PAR vs GUA,D,20070416,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D028,Fed Cup G2 RRB: PAR vs TRI,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D029,Fed Cup G2 RRB: PAR vs BAR,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D030,Fed Cup G2 RRB: BOL vs GUA,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D031,Fed Cup G2 RRB: BOL vs TRI,D,20070418,Clay,4,2,3:2,2,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D032,Fed Cup G2 RRB: BOL vs BAR,D,20070416,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D033,Fed Cup G2 RRB: GUA vs TRI,D,20070417,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D034,Fed Cup G2 RRB: GUA vs BAR,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D035,Fed Cup G2 RRB: TRI vs BAR,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D036,Fed Cup G1 RRA: THA vs KOR,D,20070420,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D037,Fed Cup G1 RRA: THA vs UZB,D,20070419,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D038,Fed Cup G1 RRA: THA vs HKG,D,20070416,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D039,Fed Cup G1 RRA: THA vs SIN,D,20070418,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D040,Fed Cup G1 RRA: KOR vs UZB,D,20070418,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D041,Fed Cup G1 RRA: KOR vs HKG,D,20070419,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D042,Fed Cup G1 RRA: KOR vs SIN,D,20070417,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D043,Fed Cup G1 RRA: UZB vs HKG,D,20070417,Hard,4,2,3:2,2,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D044,Fed Cup G1 RRA: UZB vs SIN,D,20070416,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D045,Fed Cup G1 RRA: HKG vs SIN,D,20070420,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D046,Fed Cup G1 RRB: IND vs TPE,D,20070420,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D047,Fed Cup G1 RRB: NZL vs IND,D,20070418,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D048,Fed Cup G1 RRB: IND vs KAZ,D,20070416,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D049,Fed Cup G1 RRB: IND vs JOR,D,20070417,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D050,Fed Cup G1 RRB: NZL vs TPE,D,20070419,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D051,Fed Cup G1 RRB: TPE vs KAZ,D,20070417,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D052,Fed Cup G1 RRB: TPE vs JOR,D,20070418,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D053,Fed Cup G1 RRB: NZL vs KAZ,D,20070420,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D054,Fed Cup G1 RRB: NZL vs JOR,D,20070416,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D055,Fed Cup G1 RRB: KAZ vs JOR,D,20070419,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D056,Fed Cup G2 RRA: RSA vs FIN,D,20070418,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D057,Fed Cup G2 RRA: RSA vs GRE,D,20070419,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D058,Fed Cup G2 RRA: FIN vs GRE,D,20070417,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D059,Fed Cup G2 RRB: GEO vs POR,D,20070418,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D060,Fed Cup G2 RRB: GEO vs BIH,D,20070419,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D061,Fed Cup G2 RRB: GEO vs NOR,D,20070417,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D062,Fed Cup G2 RRB: POR vs BIH,D,20070417,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D063,Fed Cup G2 RRB: POR vs NOR,D,20070419,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D064,Fed Cup G2 RRB: BIH vs NOR,D,20070418,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D065,Fed Cup G1 RRA: SUI vs NED,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D066,Fed Cup G1 RRA: SUI vs DEN,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D067,Fed Cup G1 RRA: SUI vs ROU,D,20070419,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D068,Fed Cup G1 RRA: NED vs DEN,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D069,Fed Cup G1 RRA: NED vs ROU,D,20070418,Clay,4,2,3:1|5:1,1,1,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D070,Fed Cup G1 RRA: DEN vs ROU,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D071,Fed Cup G1 RRB: BLR vs UKR,D,20070420,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D072,Fed Cup G1 RRB: BLR vs HUN,D,20070418,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D073,Fed Cup G1 RRB: BLR vs LTU,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D074,Fed Cup G1 RRB: UKR vs HUN,D,20070419,Clay,4,2,3:2,2,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D075,Fed Cup G1 RRB: UKR vs LTU,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D076,Fed Cup G1 RRB: HUN vs LTU,D,20070420,Clay,4,2,3:2,2,0,1,0,0,1,0,9,,deciding_set_extends_past_6_all_cap_unknown,1 deciding set(s) went past 7 games (longest 9); that rules out a tiebreak at 6-all but does not separate an advantage set from a tiebreak at a later game count
2007,2007-D077,Fed Cup G1 RRC: SRB vs SLO,D,20070420,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D078,Fed Cup G1 RRC: SRB vs EST,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D079,Fed Cup G1 RRC: SRB vs SWE,D,20070419,Clay,4,2,3:2,2,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D080,Fed Cup G1 RRC: SLO vs EST,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D081,Fed Cup G1 RRC: SLO vs SWE,D,20070418,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D082,Fed Cup G1 RRC: EST vs SWE,D,20070420,Clay,4,2,3:2,2,0,2,0,0,1,1,8,,deciding_set_extends_past_6_all_cap_unknown,1 deciding set(s) went past 7 games (longest 8); that rules out a tiebreak at 6-all but does not separate an advantage set from a tiebreak at a later game count
2007,2007-D083,Fed Cup G1 RRD: BUL vs GBR,D,20070418,Clay,4,2,3:2,2,0,2,0,0,1,1,8,,deciding_set_extends_past_6_all_cap_unknown,1 deciding set(s) went past 7 games (longest 8); that rules out a tiebreak at 6-all but does not separate an advantage set from a tiebreak at a later game count
2007,2007-D084,Fed Cup G1 RRD: BUL vs LUX,D,20070420,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D085,Fed Cup G1 RRD: BUL vs POL,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D086,Fed Cup G1 RRD: GBR vs LUX,D,20070419,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D087,Fed Cup G1 RRD: GBR vs POL,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D088,Fed Cup G1 RRD: LUX vs POL,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D089,Fed Cup G1 RRA: BRA vs MEX,D,20070419,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D090,Fed Cup G1 RRA: BRA vs CHI,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D091,Fed Cup G1 RRA: MEX vs CHI,D,20070420,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D092,Fed Cup G1 RRB: ARG vs PUR,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D093,Fed Cup G1 RRB: PUR vs COL,D,20070418,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D094,Fed Cup G1 RRB: PUR vs DOM,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D095,Fed Cup G1 RRB: ARG vs COL,D,20070420,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D096,Fed Cup G1 RRB: ARG vs DOM,D,20070418,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D097,Fed Cup G1 RRB: COL vs DOM,D,20070419,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D098,Fed Cup G2 PO: FIN vs BIH,D,20070420,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D099,Fed Cup G2 PO: POR vs GRE,D,20070420,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D100,Fed Cup G2 PO: RSA vs GEO,D,20070420,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D101,Fed Cup G1 PO: THA vs TPE,D,20070421,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D102,Fed Cup G1 PO: UZB vs IND,D,20070421,,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D103,Fed Cup G1 PO: NZL vs HKG,D,20070421,,4,2,3:2,2,0,2,0,0,0,2,6,,not_observable_no_deciding_set_reached_6_all,"2 deciding set(s), none reached 6-6"
2007,2007-D104,Fed Cup G1 PO: KOR vs KAZ,D,20070421,,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D105,Fed Cup G1 PO: SIN vs JOR,D,20070421,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D106,Fed Cup G1 PO: SRB vs ROU,D,20070421,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D107,Fed Cup G1 PO: POL vs UKR,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D108,Fed Cup G1 PO: BUL vs LTU,D,20070421,Clay,4,2,3:1|5:1,1,1,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D109,Fed Cup G1 PO: EST vs NED,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D110,Fed Cup G2 PO: URU vs BOL,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D111,Fed Cup G2 PO: ECU vs PAR,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D112,Fed Cup G2 PO: BER vs GUA,D,20070421,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D113,Fed Cup G2 PO: HON vs TRI,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D114,Fed Cup G1 PO: ARG vs BRA,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D115,Fed Cup G1 PO: MEX vs COL,D,20070421,Clay,4,2,3:1|5:1,1,1,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D116,Fed Cup G1 PO: PUR vs CHI,D,20070421,Clay,4,2,3:2,2,0,1,0,0,0,1,7,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D117,Fed Cup G1 PO: BLR vs LUX,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D118,Fed Cup G1 PO: SLO vs SUI,D,20070421,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D119,Fed Cup G1 PO: GBR vs SWE,D,20070421,Clay,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D120,Fed Cup G1 PO: HUN vs DEN,D,20070421,Clay,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D121,Fed Cup G3 RRA: TUR vs EGY,D,20070427,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D122,Fed Cup G3 RRA: TUR vs LIE,D,20070423,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D123,Fed Cup G3 RRA: TUR vs AZE,D,20070425,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D124,Fed Cup G3 RRA: MRI vs TUR,D,20070426,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D125,Fed Cup G3 RRA: EGY vs LIE,D,20070425,Hard,4,2,3:2,2,0,1,0,0,1,0,13,,deciding_set_extends_past_6_all_cap_unknown,1 deciding set(s) went past 7 games (longest 13); that rules out a tiebreak at 6-all but does not separate an advantage set from a tiebreak at a later game count
2007,2007-D126,Fed Cup G3 RRA: EGY vs AZE,D,20070424,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D127,Fed Cup G3 RRA: MRI vs EGY,D,20070423,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D128,Fed Cup G3 RRA: LIE vs AZE,D,20070426,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D129,Fed Cup G3 RRA: MRI vs LIE,D,20070424,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D130,Fed Cup G3 RRA: MRI vs AZE,D,20070427,Hard,4,2,3:1|5:1,1,1,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D131,Fed Cup G3 RRB: LAT vs IRL,D,20070426,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D132,Fed Cup G3 RRB: LAT vs MDA,D,20070427,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D133,Fed Cup G3 RRB: LAT vs MLT,D,20070423,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D134,Fed Cup G3 RRB: LAT vs MNE,D,20070425,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
2007,2007-D135,Fed Cup G3 RRB: IRL vs MDA,D,20070425,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D136,Fed Cup G3 RRB: IRL vs MLT,D,20070424,Hard,4,2,3:2,2,0,0,0,0,0,0,0,,not_observable_no_deciding_set_played,no completed match reached a deciding set
2007,2007-D137,Fed Cup G3 RRB: IRL vs MNE,D,20070423,Hard,4,2,3:2,2,0,1,0,0,0,1,6,,not_observable_no_deciding_set_reached_6_all,"1 deciding set(s), none reached 6-6"
